                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                     986                                     1594                  5.0000000000000000E+001                  2.0000000000000000E-002                  3.7608288526056628E+006                  1.6665858424555586E+002                  3.6664664547844845E+003                  7.4027729956939723E+005                  2.1353084597402735E+003                 -4.8781226278333634E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8248637910570926E-001                  9.1239991290797920E-002                  1.2267193869752508E-007                  2.1379991568141027E-003                  2.0045171371903550E-002                  4.8466814089704989E+001                 -1.7848365767489629E-005                  1.5385753285186777E+001                  3.2393814523575529E-004                  3.0619083216204249E+001                  1.4453461731561117E+000                  2.5020009518892994E-001                  1.8994787838319518E-001                  3.7791433050921058E-001                  2.0272205833572215E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8254886241029141E+001                  2.1171902542093139E+003                  4.8227005241949755E+001                  2.1150478240613215E+003                  1.4190649261822388E+008                  3.4882968187352532E+001                  6.5471160763536918E+005                  7.4236892430434958E+005                  2.2095090530139755E+005                  5.0548323437140934E+005                  1.5139872096970210E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1868480099468414E+014                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20250713" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                     rmid                                    logxq                                    logxm                                  eps_nuc                              mixing_type 
                                       1                  4.8466814089704989E+001                  3.3294606206663069E+000                  3.5642477159138539E+000                 -9.1623727322827104E+000                  2.1978709555143907E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  1.0000000000000000E+000                  2.1353084597384377E+003                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.3250724372996904E-029                                        0 
                                       2                  4.8466814089680753E+001                  3.3294606206655666E+000                  3.5642477159525510E+000                 -9.1623727320118764E+000                  2.1978709558235212E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  9.9999999999949996E-001                  2.1353084597303964E+003                 -1.2301029995663985E+001                 -1.0615585522851385E+001                  9.3250724431151249E-029                                        0 
                                       3                  4.8466814089597463E+001                  3.3294606206630331E+000                  3.5642477160590413E+000                 -9.1623727312665775E+000                  2.1978709566742105E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  9.9999999999778155E-001                  2.1353084597082598E+003                 -1.1653950787702252E+001                 -9.9685063148896518E+000                  9.3250724591184108E-029                                        0 
                                       4                  4.8466814089384869E+001                  3.3294606206565618E+000                  3.5642477163608475E+000                 -9.1623727291543045E+000                  2.1978709590851677E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  9.9999999999339517E-001                  2.1353084596455074E+003                 -1.1180136394369729E+001                 -9.4946919215571288E+000                  9.3250725044737774E-029                                        0 
                                       5                  4.8466814088758902E+001                  3.3294606206375068E+000                  3.5642477175836560E+000                 -9.1623727205961316E+000                  2.1978709688535054E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  9.9999999998047961E-001                  2.1353084593912504E+003                 -1.0709511144687824E+001                 -9.0240666718752234E+000                  9.3250726882375559E-029                                        0 
                                       6                  4.8466814085987281E+001                  3.3294606205531365E+000                  3.5642477225457387E+000                 -9.1623726858676005E+000                  2.1978710084928097E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  9.9999999992329380E-001                  2.1353084583594900E+003                 -1.0115169403057669E+001                 -8.4297249302450687E+000                  9.3250734339395123E-029                                        0 
                                       7                  4.8466814074971687E+001                  3.3294606202178159E+000                  3.5642477325717206E+000                 -9.1623726156979721E+000                  2.1978710885847463E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  9.9999999969601261E-001                  2.1353084562748190E+003                 -9.5171444878921516E+000                 -7.8317000150795515E+000                  9.3250749406440070E-029                                        0 
                                       8                  4.8466814058129970E+001                  3.3294606197051424E+000                  3.5642477446945540E+000                 -9.1623725308529824E+000                  2.1978711854272142E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  9.9999999934852302E-001                  2.1353084537541417E+003                 -9.1861009511462015E+000                 -7.5006564783336023E+000                  9.3250767624628549E-029                                        0 
                                       9                  4.8466814041288252E+001                  3.3294606191924720E+000                  3.5642477628788076E+000                 -9.1623724035855343E+000                  2.1978713306908833E+000                  6.7295465018780753E-001                  3.0707773062398830E-001                  1.9967619188204111E-002                  9.9999999900103342E-001                  2.1353084499731490E+003                 -9.0004490612573864E+000                 -7.3150045884447863E+000                  9.3250794951910007E-029                                        0 
