                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20250713"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1210                  5.6568542494923850E+000                  7.5257498915995336E-001                  4.9999995928887664E+001                  3.4997648419534968E+001                 -6.1428619035340235E+000                  3.3041099400248882E+001                  6.5998227708481760E-001                  7.8131779379653210E-008                  6.7311396244260391E-001                  6.7141270416697751E-001                  6.7311396244260391E-001                  7.8131779379653210E-008                  9.9999999856415589E-001                  9.9999997904122040E-001                                        1                  6.6082204181059290E-001                                        4                  6.7141270416697751E-001                                        1                  6.7380048463734710E-001                                        0                  9.9999997904122040E-001                                        1                  9.9999999859744559E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5879805354455820E+000                 -2.5284189339545868E+001                 -9.8999999999999986E+001                  5.5879805354455820E+000                  3.1111075902019705E+000                  5.5865296383456240E+000                 -2.5284189339545868E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5040372942148873E+034                  5.1787109053072630E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.9257637562296508E-002                                        5                  2.0049755737498776E-001                                        4                  3.5119126395960643E-001                                        3                  4.8341550437260594E-001                                        2                  5.9413946236251713E-001                                        1                  6.6419335327740681E-001                                        2                  7.1830984514463680E-001                                        1                  7.8400851655763781E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6582916080435490E+000                  5.5671169564103051E+000                  9.7776412496765879E+000                  9.9023409857067990E-001                  4.1563911252465502E+000                  3.9906323465481668E-005                  7.6075422124251144E+000                  3.9707305301359885E-001                  1.6307828374042373E+001                  3.9707305301359885E-001                  7.6075422124251144E+000                  6.2038966218284131E-001                  8.4954465314666283E-001                  1.2980285465183341E+000                  6.9908916064519522E-001                  2.8036212763912960E-001                  9.3887524386735875E-005                  9.2830139974997630E-003                  7.0000000000000073E-001                  2.7997020236474945E-001                  3.4416106108120007E-003                  9.3604466091399760E-003                  3.4969695824447079E+001                  1.4011546983572106E+001                                        0                                        0                                        3 
                                       5                                     1083                  4.2096046583022527E+001                  1.0692999733504525E+000                  4.9999970106674368E+001                  3.4997648195246001E+001                 -6.1487386211064470E+000                  3.3009733039076238E+001                  6.5998261792908308E-001                  7.8131819125637492E-008                  9.9999999843938681E-001                  9.9999998208516383E-001                  6.6710927287756139E-001                  7.8131819125637492E-008                  9.9999999843938681E-001                  9.9999998208516383E-001                                        1                  6.6019505549004021E-001                                        4                  6.6837344624605188E-001                                        0                  9.9999998208516383E-001                                        1                  9.9999999844233045E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5885520676849874E+000                 -2.5287326007375135E+001                 -9.8999999999999986E+001                  5.5885520676849874E+000                  3.1234447175613522E+000                  5.5870612581811425E+000                 -2.5287326007375135E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5108751656141840E+034                  5.1798197045895639E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.9257663001134766E-002                                        5                  2.0049766092086241E-001                                        4                  3.5119144533042879E-001                                        3                  4.8341575402991943E-001                                        2                  5.9413976920261846E-001                                        1                  6.6421502548742861E-001                                        2                  7.1831021611185886E-001                                        1                  7.8400892145458256E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6584170623321368E+000                  5.5683059535766448E+000                  9.7853798446444618E+000                  9.9057768857667394E-001                  4.1557037209455903E+000                  2.2519784092047277E-005                  7.6075223602190487E+000                  3.9663578895526214E-001                  1.6307496811913655E+001                  3.9663578895526214E-001                  7.6075223602190487E+000                  6.2039135243360699E-001                  8.4954297064878959E-001                  1.2980327082639873E+000                  6.9908579113174052E-001                  2.8036570742415556E-001                  9.4669983080960873E-005                  9.2822666781804987E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                  3.4416106108119955E-003                  9.3604466091399743E-003                  3.4969530921469470E+001                  1.4011673652659820E+001                                        0                                        0                                        3 
                                      10                                     1076                  1.4684448121648910E+002                  1.4652062035885765E+000                  4.9999895660051195E+001                  3.4997647548609976E+001                 -6.1484045297795937E+000                  3.3091855040775400E+001                  6.6101236107082439E-001                  7.8131935254965867E-008                  9.9999999843938681E-001                  9.9999998227053444E-001                  6.7112289987080254E-001                  7.8131935254965867E-008                  9.9999999843938681E-001                  9.9999998227053444E-001                                        1                  6.6183848193937433E-001                                        4                  6.7136129590118065E-001                                        0                  9.9999998227053444E-001                                        1                  9.9999999844121967E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5929082864437998E+000                 -2.5300610054623366E+001                 -9.8999999999999986E+001                  5.5929082864437998E+000                  3.1718543022446712E+000                  5.5912580156974272E+000                 -2.5300610054623366E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5193062987562330E+034                  5.1879674314368638E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.9257736342621983E-002                                        5                  2.0049795944896232E-001                                        4                  3.5119196823186383E-001                                        3                  4.8615657772020249E-001                                        2                  5.9414065383845571E-001                                        1                  6.6688517785710011E-001                                        2                  7.1742342246773960E-001                                        1                  7.8401008879335365E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6583497570423162E+000                  5.5681857418281089E+000                  9.7870587040644228E+000                  9.9065219328204868E-001                  4.1555540648988210E+000                  1.0482021584384278E-005                  7.6072775389120046E+000                  3.9585280442247556E-001                  1.6306482641286891E+001                  3.9585280442247556E-001                  7.6072775389120046E+000                  6.2039667777432417E-001                  8.4953847773287616E-001                  1.2980437088500956E+000                  6.9907678663898032E-001                  2.8037553510002799E-001                  9.8405444099834466E-005                  9.2802139655760972E-003                  6.9999999999999996E-001                  2.7997020236474918E-001                  3.4416106108119981E-003                  9.3604466091399777E-003                  3.4969053156181872E+001                  1.4012035159043650E+001                                        0                                        0                                        3 
                                      15                                     1071                  4.0749210608363660E+002                  1.8611124338267004E+000                  4.9999711001796214E+001                  3.4997645944682446E+001                 -6.1505075565554828E+000                  3.3310406836550392E+001                  6.6509250117300867E-001                  7.8132224134996875E-008                  9.9999999837725073E-001                  9.9999998274080448E-001                  6.7311779823284579E-001                  7.8132224134996875E-008                  9.9999999837725073E-001                  9.9999998274080448E-001                                        1                  6.6621198741236187E-001                                        4                  6.7459017291007350E-001                                        0                  9.9999998274080448E-001                                        1                  9.9999999843757392E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5799035935585124E+000                 -2.5327508086152683E+001                 -1.0235019852575359E+001                  5.5799035935585124E+000                  3.1883846677560372E+000                  5.5781369521456403E+000                 -2.5327508086152683E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4992378648305535E+034                  5.1715394528671482E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.9257918260626310E-002                                        5                  1.9725894814043121E-001                                        4                  3.5119326524928141E-001                                        3                  4.8341825915200121E-001                                        2                  5.9297144807371693E-001                                        1                  6.7254248184886012E-001                                        2                  7.1742607204619957E-001                                        1                  7.8401298428878685E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6581134092620333E+000                  5.5670537850319679E+000                  9.7849567511195925E+000                  9.9055891044454436E-001                  4.1557390266462972E+000                  4.7577250984062967E-006                  7.6067814760064056E+000                  3.9427846860368110E-001                  1.6304434418748894E+001                  3.9427846860368110E-001                  7.6067814760064056E+000                  6.2041051743618725E-001                  8.4952609430973292E-001                  1.2980748995314313E+000                  6.9905201049948129E-001                  2.8040055747720932E-001                  9.6153236192664615E-005                  9.2750180831455316E-003                  7.0000000000000051E-001                  2.7997020236474901E-001                  3.4416106108119946E-003                  9.3604466091399795E-003                  3.4967876232095918E+001                  1.4012919621012504E+001                                        0                                        0                                        3 
                                      20                                     1064                  1.0560668039930567E+003                  2.2570186640648244E+000                  4.9999254015469120E+001                  3.4997641975308561E+001                 -6.1525561452801920E+000                  3.3426938581860490E+001                  6.6711882724177551E-001                  7.8132937897379406E-008                  9.9999999843938681E-001                  9.9999998410731017E-001                  6.6854874617766546E-001                  7.8132937897379406E-008                  9.9999999843938681E-001                  9.9999998410731017E-001                                        1                  6.6854874617766546E-001                                        4                  6.7028334169340487E-001                                        0                  9.9999998410731017E-001                                        1                  9.9999999844615728E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5488300418087526E+000                 -2.5291771333283158E+001                 -9.8999999999999986E+001                  5.5488300418087526E+000                  2.9303223432504062E+000                  5.5477833957783149E+000                 -2.5291771333283158E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4391522024003147E+034                  5.1147161196985654E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.4194626020487182E-002                                        5                  1.9402096966440785E-001                                        4                  3.4497007833250359E-001                                        3                  4.7790613007339655E-001                                        2                  5.8827201116914518E-001                                        1                  6.7422902783345717E-001                                        2                  7.1832050377791634E-001                                        1                  7.8402015005997971E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6584637697283124E+000                  5.5663688227488501E+000                  9.7614808893099720E+000                  9.8951570837042579E-001                  4.1578214614206486E+000                  2.1210753408681582E-006                  7.6074345943548911E+000                  3.9622012772201781E-001                  1.6307021067548998E+001                  3.9622012772201781E-001                  7.6074345943548911E+000                  6.2044155991514605E-001                  8.4949105320555418E-001                  1.2981639223953632E+000                  6.9898200967043389E-001                  2.8046957036699088E-001                  7.8094895715175128E-005                  9.2607969134024040E-003                  7.0000000000000029E-001                  2.7997020236474901E-001                  3.4416106108119981E-003                  9.3604466091399847E-003                  3.4965146528967971E+001                  1.4015137825049985E+001                                        0                                        0                                        4 
                                      25                                     1062                  2.6699281962950249E+003                  2.6529248943029486E+000                  4.9998119362431844E+001                  3.4997632119578626E+001                 -6.1533588543297775E+000                  3.3353955037990715E+001                  6.6511367371748253E-001                  7.8134709258215196E-008                  9.9999999843938681E-001                  9.9999998720876371E-001                  6.6915425984109045E-001                  7.8134709258215196E-008                  9.9999999843938681E-001                  9.9999998720876371E-001                                        1                  6.6710419238393570E-001                                        4                  6.7071520425182585E-001                                        0                  9.9999998720876371E-001                                        1                  9.9999999846919885E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5632929921326388E+000                 -2.5226508950479264E+001                 -9.8999999999999986E+001                  5.5632929921326388E+000                  2.4055404579000563E+000                  5.5629908697997772E+000                 -2.5226508950479264E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4551858601851196E+034                  5.1286956966144498E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.6727557652989860E-002                                        5                  1.9402537275966947E-001                                        4                  3.4653764820606203E-001                                        3                  4.8067531195780577E-001                                        2                  5.9064745006313368E-001                                        1                  6.7421395564071618E-001                                        2                  7.2011259469213296E-001                                        1                  7.8548162976385838E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6591278410247732E+000                  5.5659559123696276E+000                  9.7270491556362124E+000                  9.8798111058789284E-001                  4.1608808012557814E+000                  9.5366353734960157E-007                  7.6086246672309832E+000                  3.9972793061554868E-001                  1.6311703755335959E+001                  3.9972793061554868E-001                  7.6086246672309832E+000                  6.2052114165471772E-001                  8.4940152435765559E-001                  1.2983884097080856E+000                  6.9880302369469072E-001                  2.8065305830341380E-001                  7.5521432537151723E-005                  9.2230712250205571E-003                  6.9999999999999951E-001                  2.7997020236474918E-001                  3.4416106108119955E-003                  9.3604466091399691E-003                  3.4958345891534883E+001                  1.4020977268490219E+001                                        0                                        0                                        4 
                                      30                                     1055                  6.0367398205635891E+003                  2.9110416747286201E+000                  4.9995761017070429E+001                  3.4997611633997444E+001                 -6.1551281046529747E+000                  3.3458441422971767E+001                  6.6918582445402308E-001                  7.8138395864790766E-008                  9.9999999842674558E-001                  9.9999998756233832E-001                  6.7217469024494059E-001                  7.8138395864790766E-008                  9.9999999842674558E-001                  9.9999998756233832E-001                                        1                  6.6922556517437148E-001                                        4                  6.7309597334966320E-001                                        0                  9.9999998756233832E-001                                        1                  9.9999999847402554E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5664641380105202E+000                 -2.5231111313520362E+001                 -9.8999999999999986E+001                  5.5664641380105202E+000                  2.0789741639096939E+000                  5.5663227654833358E+000                 -2.5231111313520362E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4594344165085239E+034                  5.1326498932285036E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.6729761834236605E-002                                        5                  1.9727453285833896E-001                                        4                  3.4655399470101578E-001                                        3                  4.8069798584793655E-001                                        2                  5.9067531143869334E-001                                        1                  6.7424945054244534E-001                                        2                  7.2014656305590696E-001                                        1                  7.8551868164426430E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6590401543723132E+000                  5.5652753388061624E+000                  9.7233562305902357E+000                  9.8781619711108093E-001                  4.1611901426282243E+000                  5.7134432167108725E-007                  7.6085103800224392E+000                  3.9927268027701018E-001                  1.6311087697122659E+001                  3.9927268027701018E-001                  7.6085103800224392E+000                  6.2070274324023922E-001                  8.4921241049217000E-001                  1.2988625729539436E+000                  6.9842481165143133E-001                  2.8104131234356222E-001                  7.6489705671831346E-005                  9.1444027858414781E-003                  7.0000000000000018E-001                  2.7997020236474884E-001                  3.4416106108119981E-003                  9.3604466091399743E-003                  3.4943943638692815E+001                  1.4033405696529632E+001                                        0                                        0                                        5 
                                      35                                     1042                  1.1335421795051041E+004                  3.0896449451239807E+000                  4.9992053756749769E+001                  3.4997579429219201E+001                 -6.1549610202585736E+000                  3.3441910122013908E+001                  6.6721491107493947E-001                  7.8144191340001612E-008                  9.9999999842674558E-001                  9.9999998739042673E-001                  6.7222453669793492E-001                  7.8144191340001612E-008                  9.9999999842674558E-001                  9.9999998739042673E-001                                        1                  6.6894451435691793E-001                                        4                  6.7294981168697277E-001                                        0                  9.9999998739042673E-001                                        1                  9.9999999846463117E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5665732114576816E+000                 -2.5253198519478399E+001                 -9.8999999999999986E+001                  5.5665732114576816E+000                  2.0474739725772642E+000                  5.5664417644226996E+000                 -2.5253198519478399E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4583543291295465E+034                  5.1303405536146914E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.6733227172802927E-002                                        5                  1.9404891412904757E-001                                        4                  3.4657969410275935E-001                                        3                  4.8073363296453164E-001                                        2                  5.9071911414292133E-001                                        1                  6.7440421902112480E-001                                        2                  7.1842396208942627E-001                                        1                  7.8413307096435125E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6587043137396336E+000                  5.5653790066367810E+000                  9.7395684077718059E+000                  9.8853971229174953E-001                  4.1597109074886429E+000                  4.0237809555262124E-007                  7.6080554440772019E+000                  3.9781198969468162E-001                  1.6309070702627238E+001                  3.9781198969468162E-001                  7.6080554440772019E+000                  6.2099063299504986E-001                  8.4891442071563661E-001                  1.2996106392950653E+000                  6.9782883291653708E-001                  2.8165257790310916E-001                  7.7934779853010988E-005                  9.0240545903385976E-003                  7.0000000000000029E-001                  2.7997020236474907E-001                  3.4416106108119955E-003                  9.3604466091399760E-003                  3.4921267682493244E+001                  1.4052959707220985E+001                                        0                                        0                                        5 
                                      40                                     1049                  1.8834002946059551E+004                  3.2241750753208711E+000                  4.9986800162927409E+001                  3.4997533787431564E+001                 -6.1542217302931723E+000                  3.3395595207059721E+001                  6.6728503511015669E-001                  7.8152403548692462E-008                  9.9999999842674558E-001                  9.9999998746653129E-001                  6.7129872004685542E-001                  7.8152403548692462E-008                  9.9999999842674558E-001                  9.9999998746653129E-001                                        1                  6.6808827726939579E-001                                        4                  6.7225828701963986E-001                                        0                  9.9999998746653129E-001                                        1                  9.9999999845122256E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  5.5667800810154935E+000                 -2.5282029874821941E+001                 -9.8999999999999986E+001                  5.5667800810154935E+000                  2.0405878465128886E+000                  5.5666507636841072E+000                 -2.5282029874821941E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4569260640724450E+034                  5.1278359576698154E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        6                  4.6738138817331354E-002                                        5                  1.9406930859664939E-001                                        4                  3.4661611949774218E-001                                        3                  4.8078415788783324E-001                                        2                  5.9078119849876520E-001                                        1                  6.7449520258988882E-001                                        2                  7.1761137241322137E-001                                        1                  7.8421548305402489E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6582501448562956E+000                  5.5656534360344274E+000                  9.7630444084057046E+000                  9.8958526475724951E-001                  4.1575741607700074E+000                  3.1001806407663614E-007                  7.6074568878681275E+000                  3.9588827709604701E-001                  1.6306402494807397E+001                  3.9588827709604701E-001                  7.6074568878681275E+000                  6.2139855104330077E-001                  8.4849223160207232E-001                  1.3006723433605833E+000                  6.9698445467411507E-001                  2.8251772828011984E-001                  7.9898898791642389E-005                  8.8604959718390323E-003                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108119959E-003                  9.3604466091399795E-003                  3.4889183118850767E+001                  1.4080593234209099E+001                                        0                                        0                                        5 
