                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20250713"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1138                  5.5242717280199042E+002                  2.7422750325201410E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.0150197163129286E+000                  2.5153491478904544E-001                  7.8129739536097626E-008                  2.6632016468573860E-001                  2.6226575240399086E-001                  2.6632016468573860E-001                  7.8129739536097626E-008                  9.9999997580733402E-001                  9.9999994246255519E-001                                        1                  2.5187746453911608E-001                                        4                  2.6226575240399086E-001                                        1                  2.6692431538973527E-001                                        0                  9.9999994246255519E-001                                        1                  9.9999997647883587E-001                                        0                  9.9999999978220178E-001                                        1                  9.9999999994635524E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4765736526819788E+000                 -3.1477821866601516E+001                 -9.8999999999999986E+001                  3.4765736526819788E+000                  1.6126363692478971E+000                  3.4705918165325027E+000                 -3.1477821866601516E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9103390775020173E+033                  7.0058304025644912E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.8349578722265718E-002                                        4                  1.1922031628569685E-001                                        3                  2.3339871152603797E-001                                        2                  2.5490473756976734E-001                                        3                  4.0525651376708394E-001                                        2                  5.1397567650856446E-001                                        1                  6.1270164883584877E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3512753791524519E+000                  3.4408676069272865E+000                  3.4764971813806063E+000                  5.4114188161136678E-001                  4.2586955771823352E+000                 -2.7620063458232195E-009                  7.4818148067183108E+000                  1.0739948600356044E+000                  1.6701013336444277E+001                  1.0739948600356044E+000                  7.4818148067183108E+000                  6.2049774785489964E-001                  8.4944482971592550E-001                  1.2982833503236282E+000                  6.9888951485975326E-001                  2.8055591454589390E-001                  5.9318862810776320E-005                  9.2838193034976008E-003                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4416106108119972E-003                  9.3604466091399725E-003                  5.5974778361417696E+000                  2.2410174749813740E+000                                        0                                        0                                        3 
                                       5                                     1043                  4.1109420491232922E+003                  3.0590000167106401E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.0549950663676930E+000                  2.5647091028593572E-001                  7.8129740443317796E-008                  9.9999997169475097E-001                  9.9999995311410661E-001                  2.5687438329596163E-001                  7.8129740443317796E-008                  9.9999997169475097E-001                  9.9999995311410661E-001                                        1                  2.5687438329596163E-001                                        4                  2.6069341029744819E-001                                        0                  9.9999995311410661E-001                                        1                  9.9999997235387827E-001                                        0                  9.9999999978601561E-001                                        1                  9.9999999994371080E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4479050670949332E+000                 -3.1500714743842853E+001                 -9.8999999999999986E+001                  3.4479050670949332E+000                  1.5847893228777596E+000                  3.4419118261004069E+000                 -3.1500714743842853E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8618564801387027E+033                  7.0021155883100687E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.6401705992677984E-002                                        4                  1.1451971929304294E-001                                        3                  2.3009574862437776E-001                                        2                  2.6330341327153950E-001                                        3                  4.0375687681519878E-001                                        2                  5.1265342924411594E-001                                        1                  6.1270164883584965E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3511254994690800E+000                  3.4405722440384041E+000                  3.4777147677623463E+000                  5.4129395953366799E-001                  4.2583914213377323E+000                 -2.2602389604546013E-010                  7.4814627030102674E+000                  1.0723388663948612E+000                  1.6699018050678479E+001                  1.0723388663948612E+000                  7.4814627030102674E+000                  6.2051619302574101E-001                  8.4942564765079598E-001                  1.2983320167249786E+000                  6.9885116101651645E-001                  2.8059388383546519E-001                  5.2928160441717256E-005                  9.2786216848667613E-003                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4416106108119959E-003                  9.3604466091399777E-003                  5.5973725775059968E+000                  2.2411133652907171E+000                                        0                                        0                                        3 
                                      10                                     1040                  1.4340281368797763E+004                  3.4549062469487644E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.0403751048678536E+000                  2.5482557845363824E-001                  7.8129739494236384E-008                  9.9999997169475097E-001                  9.9999995328261293E-001                  2.5504688810848170E-001                  7.8129739494236384E-008                  9.9999997169475097E-001                  9.9999995328261293E-001                                        1                  2.5504688810848170E-001                                        4                  2.5707617465891025E-001                                        0                  9.9999995328261293E-001                                        1                  9.9999997226986337E-001                                        0                  9.9999999978611043E-001                                        1                  9.9999999994368871E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4384788605493886E+000                 -3.1503009110286495E+001                 -9.8999999999999986E+001                  3.4384788605493886E+000                  1.5495539166231449E+000                  3.4328336660831269E+000                 -3.1503009110286495E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8402553981409593E+033                  6.9986518230948902E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.6401705992677040E-002                                        4                  1.1451971929304200E-001                                        3                  2.3009574862437682E-001                                        2                  2.6373371852008248E-001                                        3                  4.0375687681519784E-001                                        2                  5.1265342924411528E-001                                        1                  6.1270164883584899E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3508029836060507E+000                  3.4385387427734249E+000                  3.4747394150745277E+000                  5.4092224062723859E-001                  4.2591348591505911E+000                 -1.2958099619495736E-010                  7.4814153820189233E+000                  1.0722858011662557E+000                  1.6698872661263977E+001                  1.0722858011662557E+000                  7.4814153820189233E+000                  6.2057799324492802E-001                  8.4936115274899160E-001                  1.2984943100790172E+000                  6.9872218404749964E-001                  2.8072477728431278E-001                  5.0821450872045936E-005                  9.2607889303361213E-003                  7.0000000000000029E-001                  2.7997020236474895E-001                  3.4416106108119959E-003                  9.3604466091399777E-003                  5.5970830907355102E+000                  2.2413875256050448E+000                                        0                                        0                                        3 
                                      15                                     1038                  3.9794150984730135E+004                  3.8508124771868886E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.0401351584467124E+000                  2.5482557845363785E-001                  7.8129739100944098E-008                  9.9999997169475097E-001                  9.9999995329200531E-001                  2.5975608730262911E-001                  7.8129739100944098E-008                  9.9999997169475097E-001                  9.9999995329200531E-001                                        1                  2.5501689480583906E-001                                        4                  2.6002495174950813E-001                                        0                  9.9999995329200531E-001                                        1                  9.9999997224698478E-001                                        0                  9.9999999978604259E-001                                        1                  9.9999999994366340E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4386760553215270E+000                 -3.1495988193258977E+001                 -9.8999999999999986E+001                  3.4386760553215270E+000                  1.5264445168837690E+000                  3.4333276510056128E+000                 -3.1495988193258977E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8509012274530233E+033                  6.9794477557109406E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.6401705992676652E-002                                        4                  1.1451971929304161E-001                                        3                  2.3009574862437643E-001                                        2                  2.6304126431932395E-001                                        3                  2.6632016468573816E-001                                        2                  2.6838147590396588E-001                                        3                  4.0225723986331141E-001                                        2                  5.1265342924411517E-001                                        1                  6.1270164883584888E-001                                        0                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3507932960828901E+000                  3.4385754785465545E+000                  3.4750414049935983E+000                  5.4095998356012265E-001                  4.2590593732848232E+000                  8.1860027971184477E-012                  7.4815107391468443E+000                  1.0723447932029646E+000                  1.6698935079600407E+001                  1.0723447932029646E+000                  7.4815107391468443E+000                  6.2073048648321105E-001                  8.4920202915472953E-001                  1.2988945486858925E+000                  6.9840393718850224E-001                  2.8104855009431412E-001                  5.1182528961209326E-005                  9.2170706684090581E-003                  7.0000000000000018E-001                  2.7997020236474901E-001                  3.4416106108119959E-003                  9.3604466091399777E-003                  5.5963649326157645E+000                  2.2420737950670211E+000                                        0                                        0                                        3 
                                      20                                     1035                  1.0313152382744697E+005                  4.2467187074250123E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.0667975235047078E+000                  2.5647091028593388E-001                  7.8129738595714713E-008                  9.9999997169475097E-001                  9.9999995327782487E-001                  2.6632016468573766E-001                  7.8129738595714713E-008                  9.9999997169475097E-001                  9.9999995327782487E-001                                        1                  2.5834969043808848E-001                                        4                  2.6763563382763456E-001                                        0                  9.9999995327782487E-001                                        1                  9.9999997220969250E-001                                        0                  9.9999999978585596E-001                                        1                  9.9999999994360611E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4387324023764982E+000                 -3.1491248920332097E+001                 -9.8999999999999986E+001                  3.4387324023764982E+000                  1.4987685516006244E+000                  3.4337167680714273E+000                 -3.1491248920332097E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8686972707078834E+033                  4.2443784092517535E+033                  4.2918747690344747E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.9365402155928560E+033                                        5                  1.6401705992676152E-002                                        4                  1.1451971929304111E-001                                        3                  2.3009574862437593E-001                                        2                  2.7614280358273874E-001                                        3                  3.9470868495814387E-001                                        2                  5.1265342924411494E-001                                        1                  6.1270164883584866E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3506332816362789E+000                  3.4380942511594266E+000                  3.4756769100532128E+000                  5.4103939875978158E-001                  4.2589005428855051E+000                  2.2005925682272341E-011                  7.4815536054835556E+000                  1.0715789935114670E+000                  1.6698005045567260E+001                  1.0715789935114670E+000                  7.4815536054835556E+000                  6.2109850020725255E-001                  8.4881845054141425E-001                  1.2998604904325348E+000                  6.9763677915582856E-001                  2.8182873499853706E-001                  5.2118409527795164E-005                  9.1140841917228370E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                  3.4416106108119955E-003                  9.3604466091399777E-003                  5.5945778698786972E+000                  2.2438036373035688E+000                                        0                                        0                                        5 
                                      25                                     1032                  2.6073517541943616E+005                  4.6426249376631361E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.1319211974917214E+000                  2.6632016468574038E-001                  7.8129741315691918E-008                  9.9999997169475097E-001                  9.9999995298004651E-001                  2.7614280358274146E-001                  7.8129741315691918E-008                  9.9999997169475097E-001                  9.9999995298004651E-001                                        1                  2.6649014968646517E-001                                        4                  2.7766538227638521E-001                                        0                  9.9999995298004651E-001                                        1                  9.9999997201549340E-001                                        0                  9.9999999978430443E-001                                        1                  9.9999999994318911E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4388814485217734E+000                 -3.1504316360067548E+001                 -9.8999999999999986E+001                  3.4388814485217734E+000                  1.4707221218567950E+000                  3.4341828083589734E+000                 -3.1504316360067548E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8865836820927864E+033                  4.2501005930255412E+033                  4.5528203690803007E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.7974151075226573E+033                                        5                  1.6401705992678872E-002                                        4                  1.1765345062148036E-001                                        3                  2.3174723007520914E-001                                        2                  3.0214927176261286E-001                                        3                  3.7793191972615336E-001                                        2                  5.0999907005269174E-001                                        1                  6.1045599429889874E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3501097779398652E+000                  3.4379447899097548E+000                  3.4834667982611442E+000                  5.4201167552777441E-001                  4.2569559893495201E+000                  5.9415254580715002E-011                  7.4812434564626944E+000                  1.0694597642276156E+000                  1.6695025167836295E+001                  1.0694597642276156E+000                  7.4812434564626944E+000                  6.2200213395205928E-001                  8.4787919138982526E-001                  1.3022325617151311E+000                  6.9575826092918236E-001                  2.8373746211083306E-001                  5.4101210613552046E-005                  8.8750586796613844E-003                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108119959E-003                  9.3604466091399760E-003                  5.5901389553204659E+000                  2.2481783771671005E+000                                        0                                        0                                        5 
                                      30                                     1023                  6.5290349374881445E+005                  5.0385311679012608E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.1997971606946987E+000                  2.7287093431744436E-001                  7.8129737757027131E-008                  9.9999997113027883E-001                  9.9999995179580148E-001                  2.8103897988117199E-001                  7.8129737757027131E-008                  9.9999997113027883E-001                  9.9999995179580148E-001                                        1                  2.7497464508683733E-001                                        4                  2.8402831869913187E-001                                        0                  9.9999995179580148E-001                                        1                  9.9999997143029984E-001                                        0                  9.9999999977905607E-001                                        1                  9.9999999994176481E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4402732632199897E+000                 -3.1559181106884601E+001                 -1.2342229822223228E+001                  3.4402732632199897E+000                  1.4447854476713680E+000                  3.4358626401892840E+000                 -3.1559181106884601E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8977227891286454E+033                  4.2499549418953743E+033                  5.6757205498927533E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.3831581691087519E+033                                        5                  1.8349578722263948E-002                                        4                  1.1765345062147681E-001                                        3                  2.3174723007520559E-001                                        2                  5.0199660017085979E-001                                        1                  6.0821033976194616E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3487793579650038E+000                  3.4393009794110121E+000                  3.5103515373939844E+000                  5.4535061022812481E-001                  4.2502781199488187E+000                  6.9680868186450125E-011                  7.4800868328482641E+000                  1.0641983483291542E+000                  1.6687194212094152E+001                  1.0641983483291542E+000                  7.4800868328482641E+000                  6.2424939837908089E-001                  8.4555893095168844E-001                  1.3081331453388725E+000                  6.9111773925694808E-001                  2.8844429261452798E-001                  5.8421536916907624E-005                  8.3503293622880451E-003                  7.0000000000000029E-001                  2.7997020236474895E-001                  3.4416106108119959E-003                  9.3604466091399795E-003                  5.5790988244498108E+000                  2.2592162916888481E+000                                        0                                        0                                        5 
                                      35                                     1026                  1.6287437636141728E+006                  5.4344373981393845E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.1953934118439800E+000                  2.7287093431744397E-001                  7.8129737386970600E-008                  9.9999996951750114E-001                  9.9999994871082487E-001                  2.8103897988117160E-001                  7.8129737386970600E-008                  9.9999996951750114E-001                  9.9999994871082487E-001                                        1                  2.7442417648049749E-001                                        4                  2.8565998488744027E-001                                        0                  9.9999994871082487E-001                                        1                  9.9999996997167195E-001                                        0                  9.9999999976566856E-001                                        1                  9.9999999993819266E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4452024343690151E+000                 -3.1649745414805057E+001                 -9.8999999999999986E+001                  3.4452024343690151E+000                  1.4085410696428013E+000                  3.4411926010462479E+000                 -3.1649745414805057E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9019965474573167E+033                  4.2288845260693815E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.8349578722263560E-002                                        4                  1.1765345062147642E-001                                        3                  2.3009574862437471E-001                                        2                  4.8571739830236693E-001                                        1                  5.9910883098280143E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3460466171395540E+000                  3.4444399941324462E+000                  3.5759019265973140E+000                  5.5338559923974096E-001                  4.2342081419255866E+000                  6.3459723901278025E-011                  7.4779390061807707E+000                  1.0542323872116728E+000                  1.6671381075138157E+001                  1.0542323872116728E+000                  7.4779390061807707E+000                  6.3011553660063402E-001                  8.3960197198880038E-001                  1.3235456323404939E+000                  6.7920382350467245E-001                  3.0049243994260383E-001                  6.7135625587032386E-005                  7.2882975831539262E-003                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399777E-003                  5.5514898412009348E+000                  2.2869773836953597E+000                                        0                                        0                                        5 
                                      40                                     1024                  3.8868944919704874E+006                  5.7046360326317576E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.1839919800419825E+000                  2.7287093431744341E-001                  7.8129736815030581E-008                  9.9999996653386247E-001                  9.9999994132741099E-001                  2.7777486234888166E-001                  7.8129736815030581E-008                  2.8673949875702004E-001                  2.8569449223932947E-001                                        1                  2.7299899750524781E-001                                        4                  2.7859130532443088E-001                                        0                  2.8569449223932947E-001                                        4                  2.8751699683994308E-001                                        0                  9.9999994132741099E-001                                        1                  9.9999996695267213E-001                                        0                  9.9999999973552955E-001                                        1                  9.9999999993025157E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4591734397683056E+000                 -3.1666294590558284E+001                 -9.8999999999999986E+001                  3.4591734397683056E+000                  1.3494145372156920E+000                  3.4557872021704892E+000                 -3.1666294590558284E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9062547376711186E+033                  4.1783633429676837E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.0297451451851627E-002                                        4                  1.1765345062147586E-001                                        3                  2.2761828509219023E-001                                        2                  3.2223710819051482E-001                                        1                  5.8515822405047280E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3415796964894113E+000                  3.4586218019469563E+000                  3.7103112609151587E+000                  5.6941034444728178E-001                  4.2021586515105049E+000                  5.7003807369494662E-011                  7.4761297083585099E+000                  1.0409963298369473E+000                  1.6647207825627323E+001                  1.0409963298369473E+000                  7.4761297083585099E+000                  6.4486863801771144E-001                  8.2519665405882814E-001                  1.3624127247360687E+000                  6.5039320129654143E-001                  3.2951768033286383E-001                  8.1242727885383293E-005                  5.5904892629088107E-003                  7.0000000000000029E-001                  2.7997020236474901E-001                  3.4416106108119981E-003                  9.3604466091399795E-003                  5.4862762024389733E+000                  2.3525380543315886E+000                                        0                                        0                                        5 
