                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20250713"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1138                  5.5242717280199042E+002                  2.7422750325201410E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.0150197163129286E+000                  2.5153491478904544E-001                  7.8129739536097626E-008                  9.9999997580733402E-001                  9.9999994246255519E-001                  3.2782652958000180E-001                  7.8129739536097626E-008                  9.9999997580733402E-001                  9.9999994246255519E-001                                        1                  2.5187746453911608E-001                                        3                  3.2941642660490489E-001                                        0                  9.9999994246255519E-001                                        1                  9.9999997647883587E-001                                        0                  9.9999999978220178E-001                                        1                  9.9999999994635524E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.9113523766046154E+000                 -3.1646159656932671E+001                 -9.8999999999999986E+001                  3.9113523766046154E+000                  2.0018340228547902E+000                  3.9059702458577537E+000                 -3.1646159656932671E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8322053260497289E+033                  5.2063315459437202E+033                  5.2424751442036888E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.8778957286300773E+033                                        5                  6.2428311620632670E-002                                        4                  1.7730640292051081E-001                                        3                  2.9242897534862000E-001                                        2                  3.2894831074250741E-001                                        3                  3.9622502156256545E-001                                        2                  5.0734471086126287E-001                                        1                  6.0707761177372777E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3488172679123354E+000                  3.4330339444872457E+000                  3.4845064509112662E+000                  5.4214127287157821E-001                  4.2566967946619121E+000                  1.1396211436839635E-008                  7.4792078118862522E+000                  1.0619242725586506E+000                  1.6686566794298781E+001                  1.0619242725586506E+000                  7.4792078118862522E+000                  6.2041922851949949E-001                  8.4952343291729393E-001                  1.2980660877787349E+000                  6.9904628909998490E-001                  2.8044276688533271E-001                  3.4029061753083716E-004                  9.2990637721812892E-003                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4416106108119972E-003                  9.3604466091399725E-003                  5.5974451603796913E+000                  2.2410155893653303E+000                                        0                                        0                                        5 
                                       5                                     1023                  2.6609589536940816E+003                  2.5788440473688459E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.6984163012712536E+000                  4.6065174512307022E-001                  7.8129740608089342E-008                  9.9999996209872388E-001                  9.9999995133773156E-001                  5.2834204739589508E-001                  7.8129740608089342E-008                  9.9999996209872388E-001                  9.9999995133773156E-001                                        1                  4.6230203765890671E-001                                        3                  5.3092702743193199E-001                                        0                  9.9999995133773156E-001                                        1                  9.9999996345847864E-001                                        0                  9.9999999975073284E-001                                        1                  9.9999999993237643E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.0206773439008368E+000                 -3.2875955480858877E+001                 -1.1740169830895265E+001                  4.0206773439008368E+000                  2.4779184224645081E+000                  4.0080496531752550E+000                 -3.2875955480858877E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0871633803838407E+033                  5.4707998167201870E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  7.3773507201946809E-002                                        4                  1.9376263812141142E-001                                        3                  3.0860234278161808E-001                                        2                  4.1570257585864751E-001                                        1                  5.2053741576244172E-001                                        0                  5.3010850220008876E-001                                        1                  5.6355316735771832E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3297619988348197E+000                  3.3716213167673432E+000                  3.5444226009632551E+000                  5.4954549716665879E-001                  4.2418883460717511E+000                  2.7037826503068482E-008                  7.4595818179934437E+000                  9.8780577377251699E-001                  1.6593563870357354E+001                  9.8780577377251699E-001                  7.4595818179934437E+000                  6.2027211611616684E-001                  8.4966830790753856E-001                  1.2976493397835145E+000                  6.9933408684741560E-001                  2.8027341178490500E-001                  1.1028570381815478E-003                  9.3214242301362608E-003                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4416106108119959E-003                  9.3604466091399777E-003                  5.5971708164203564E+000                  2.2410496566984852E+000                                        0                                        0                                        3 
                                      10                                     1015                  3.7062173810816680E+003                  2.1683648259473478E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.8411501188944852E+000                  4.7883242720656122E-001                  7.8129743277586586E-008                  9.9999999992339972E-001                  9.9999999972952358E-001                  5.4367245214124249E-001                  7.8129743277586586E-008                  9.9999999992339972E-001                  9.9999999972952358E-001                                        1                  4.8014376486181065E-001                                        3                  5.4619756800426933E-001                                        0                  9.9999999972952358E-001                                        1                  9.9999999992552147E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.8707894996225001E+000                 -3.3295057142659530E+001                 -9.8999999999999986E+001                  3.8707894996224996E+000                  2.3196254304443813E+000                  3.8584073338047760E+000                 -3.3295057142659530E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8033524054348705E+033                  5.2169782625132312E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  5.8281249217667919E-002                                        4                  1.7402741532244831E-001                                        3                  2.9242897534862372E-001                                        2                  4.0225723986331557E-001                                        1                  5.0734471086126676E-001                                        0                  5.4672288634356270E-001                                        1                  5.5120779367685935E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3224695440326686E+000                  3.3481542995727662E+000                  3.5677704009968538E+000                  5.5239689817367232E-001                  4.2361855440577241E+000                  1.9807191690920908E-008                  7.4526076916966488E+000                  9.6399779596401580E-001                  1.6562901589271910E+001                  9.6399779596401580E-001                  7.4526076916966488E+000                  6.2027479601158153E-001                  8.4966621625348637E-001                  1.2976588836956993E+000                  6.9933008644035921E-001                  2.8026747412930941E-001                  1.0405689190044328E-003                  9.3222675309235451E-003                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399760E-003                  5.5970721483874852E+000                  2.2410607014030108E+000                                        0                                        0                                        3 
                                      15                                     1006                  4.6883807704162809E+003                  2.3439578146445470E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.7365335719341091E+000                  4.6628969701492146E-001                  7.8129743277586586E-008                  9.9999999992087973E-001                  9.9999999971880704E-001                  5.2834204739589730E-001                  7.8129743277586586E-008                  9.9999999992087973E-001                  9.9999999971880704E-001                                        1                  4.6706669649176369E-001                                        3                  5.3605713860468318E-001                                        0                  9.9999999971880704E-001                                        1                  9.9999999992189204E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.7549761483737898E+000                 -3.3551898956474552E+001                 -9.8999999999999986E+001                  3.7549761483737893E+000                  2.1828671562944719E+000                  3.7431849600832785E+000                 -3.3551898956474552E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5710828278474332E+033                  5.0072033651592708E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  4.6272139438205906E-002                                        4                  1.6094925152017098E-001                                        3                  2.7777486234888810E-001                                        2                  3.9015967514488664E-001                                        1                  4.9660923759952730E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3176830728392366E+000                  3.3329883437680681E+000                  3.5841556586354786E+000                  5.5438686265818704E-001                  4.2322056150886942E+000                  1.5619990681830858E-008                  7.4482322783672714E+000                  9.4989106932581890E-001                  1.6544453529274310E+001                  9.4989106932581890E-001                  7.4482322783672714E+000                  6.2028342410148096E-001                  8.4965821142798259E-001                  1.2976850787812353E+000                  6.9931432059215570E-001                  2.8026928987506955E-001                  9.5234353881366786E-004                  9.3220857775213137E-003                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399760E-003                  5.5970038233544077E+000                  2.2410685699240638E+000                                        0                                        0                                        3 
                                      20                                     1004                  6.1544244348001794E+003                  2.5029125594746628E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.4762996767185079E+000                  4.3043867727224866E-001                  7.8129743055541982E-008                  9.9999999991331978E-001                  9.9999999970634768E-001                  5.0468048700731405E-001                  7.8129743055541982E-008                  9.9999999991331978E-001                  9.9999999970634768E-001                                        1                  4.3453745958981349E-001                                        3                  5.0734471086125188E-001                                        0                  9.9999999970634768E-001                                        1                  9.9999999991781319E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.6306695156570581E+000                 -3.3798682973654678E+001                 -1.1740169830895265E+001                  3.6306695156570585E+000                  2.0379476575290787E+000                  3.6194320318323183E+000                 -3.3798682973654678E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3415250485575280E+033                  4.7727916512588073E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  3.3765341458238562E-002                                        4                  1.4312095153533805E-001                                        3                  2.6304126431932789E-001                                        2                  3.7485133543186705E-001                                        1                  4.8571739830237254E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3127518776989087E+000                  3.3180574660838036E+000                  3.6039919652995018E+000                  5.5678381409670907E-001                  4.2274117122116506E+000                  1.3275961484255712E-008                  7.4439334879101553E+000                  9.3720612443525209E-001                  1.6527450122993837E+001                  9.3720612443525209E-001                  7.4439334879101553E+000                  6.2029353319166503E-001                  8.4964883503517019E-001                  1.2977157204419085E+000                  6.9929582436146476E-001                  2.8027151911342824E-001                  8.4995276788877650E-004                  9.3218580066836438E-003                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399760E-003                  5.5969265275818083E+000                  2.2410778830808677E+000                                        0                                        0                                        3 
                                      25                                      999                  8.9973149050601569E+003                  2.8988187897127871E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.9952107555575971E+000                  3.7022279760192295E-001                  7.8129743166564284E-008                  9.9999999991079980E-001                  9.9999999969031572E-001                  4.4926318382336911E-001                  7.8129743166564284E-008                  9.9999999991079980E-001                  9.9999999969031572E-001                                        1                  3.7440134444469964E-001                                        3                  4.5211966318298175E-001                                        0                  9.9999999969031572E-001                                        1                  9.9999999991286881E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4718626546944691E+000                 -3.4041249629251531E+001                 -1.2041199826559247E+001                  3.4718626546944691E+000                  1.8560687335635790E+000                  3.4612137742588232E+000                 -3.4041249629251531E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0168375462645274E+033                  4.4502555915190234E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.0297451451857962E-002                                        4                  1.2553616564321496E-001                                        3                  2.4329893767110117E-001                                        2                  3.5779444198763749E-001                                        1                  4.7606110814544583E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3079757146167994E+000                  3.3080158872349696E+000                  3.6417937885121305E+000                  5.6131535083651096E-001                  4.2183486387320466E+000                  1.4692860739489874E-008                  7.4395620405942076E+000                  9.2747627738433880E-001                  1.6513184947312990E+001                  9.2747627738433880E-001                  7.4395620405942076E+000                  6.2030892807981353E-001                  8.4963454967808372E-001                  1.2977622608071375E+000                  6.9926759158404672E-001                  2.8027526308701051E-001                  6.9664260504686561E-004                  9.3214653690318078E-003                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399760E-003                  5.5968195170738193E+000                  2.2410920533308869E+000                                        0                                        0                                        3 
                                      30                                      996                  1.4428690901321726E+004                  2.9425425018395486E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.2759010303968830E+000                  2.8103897988117738E-001                  7.8129743166564284E-008                  9.9999999990323984E-001                  9.9999999967178677E-001                  3.6557893699495486E-001                  7.8129743166564284E-008                  9.9999999990323984E-001                  9.9999999967178677E-001                                        1                  2.8448762879961037E-001                                        3                  3.6712689053060521E-001                                        0                  9.9999999967178677E-001                                        1                  9.9999999990814659E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.2964076176071786E+000                 -3.4108281915669998E+001                 -9.8999999999999986E+001                  3.2964076176071782E+000                  1.6665286738481855E+000                  3.2861026252140406E+000                 -3.4108281915669998E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6722602234191757E+033                  4.0785818132343072E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  8.4259869455251546E-003                                        4                  1.0366073351172972E-001                                        3                  2.2100997833617114E-001                                        2                  3.3142038208299918E-001                                        1                  4.7467064660579023E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3104849124879276E+000                  3.3379889941621435E+000                  3.7263488388567625E+000                  5.7128350855784360E-001                  4.1984123232893813E+000                  1.5988247827180017E-008                  7.4381135136833691E+000                  9.3347801792831431E-001                  1.6517268584129727E+001                  9.3347801792831431E-001                  7.4381135136833691E+000                  6.2033224567618139E-001                  8.4961284565423545E-001                  1.2978323629053787E+000                  6.9922460155343003E-001                  2.8028240945061639E-001                  4.7347319566210677E-004                  9.3206879025341874E-003                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399760E-003                  5.5966813330581573E+000                  2.2411148985000429E+000                                        0                                        0                                        3 
                                      35                                     1000                  1.6866193875537338E+004                  2.5403887530762157E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.0214044376673539E+000                  2.4988958295675257E-001                  7.8129743222075435E-008                  9.9999994637414158E-001                  9.9999994145086579E-001                  3.2782652958000547E-001                  7.8129743222075435E-008                  9.9999994637414158E-001                  9.9999994145086579E-001                                        1                  2.5267555470841924E-001                                        3                  3.2941642660490505E-001                                        0                  9.9999994145086579E-001                                        1                  9.9999994652829594E-001                                        0                  9.9999999966859865E-001                                        1                  9.9999999990815347E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.2385382312387052E+000                 -3.4045721346858180E+001                 -9.8999999999999986E+001                  3.2385382312387048E+000                  1.6110646034232745E+000                  3.2281753186057371E+000                 -3.4045721346858180E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5577030363211175E+033                  3.9500618281845495E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  4.6547176859816908E-003                                        4                  9.7536892938804409E-002                                        3                  2.1026964095976308E-001                                        2                  3.2782652958000547E-001                                        1                  4.7883242720656116E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3140434689330247E+000                  3.3602876320424042E+000                  3.7611072228727762E+000                  5.7531571460777808E-001                  4.1903479111895123E+000                  1.3658920893418205E-008                  7.4391131872120138E+000                  9.4146051479310655E-001                  1.6526030747607997E+001                  9.4146051479310655E-001                  7.4391131872120138E+000                  6.2034180947046880E-001                  8.4960389942255521E-001                  1.2978609367740008E+000                  6.9920685845867858E-001                  2.8028612423853783E-001                  3.8630383919090611E-004                  9.3202733951507511E-003                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399760E-003                  5.5966321925757940E+000                  2.2411251634719500E+000                                        0                                        0                                        3 
                                      40                                      999                  1.8447370257791597E+004                  2.4886744377202956E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  1.9021365140041340E+000                  2.3504971026499577E-001                  7.8129743000030830E-008                  9.9999995032544686E-001                  9.9999993770034856E-001                  3.0860234278162046E-001                  7.8129743000030830E-008                  9.9999995032544686E-001                  9.9999993770034856E-001                                        1                  2.3776706425051675E-001                                        3                  3.1181798503149960E-001                                        0                  9.9999993770034856E-001                                        1                  9.9999995055506663E-001                                        0                  9.9999999966878306E-001                                        1                  9.9999999990878607E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.2048459359377452E+000                 -3.3979481141528602E+001                 -1.1944289813551190E+001                  3.2048459359377452E+000                  1.5818707450165699E+000                  3.1943738147448686E+000                 -3.3979481141528602E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4934654446731715E+033                  3.8741897716059471E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.5268645361518072E-003                                        4                  9.1479923661325957E-002                                        3                  2.0696610648324043E-001                                        2                  3.2941642660491000E-001                                        1                  4.8159414224948049E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3167531768549834E+000                  3.3755122654747538E+000                  3.7801463623487157E+000                  5.7750861548003618E-001                  4.1859621094449961E+000                  1.1414877161498545E-008                  7.4402168577979451E+000                  9.4798948241979253E-001                  1.6533523031616337E+001                  9.4798948241979253E-001                  7.4402168577979451E+000                  6.2034783351901046E-001                  8.4959824146670837E-001                  1.2978788543203641E+000                  6.9919563120429318E-001                  2.8028884017336952E-001                  3.3340987870459222E-004                  9.3199664463396985E-003                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399760E-003                  5.5966033782071190E+000                  2.2411321184228004E+000                                        0                                        0                                        2 
