                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20250713"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1138                  5.5242717280199042E+002                  2.7422750325201410E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.0150197163129286E+000                  2.5153491478904544E-001                  7.8129739536097626E-008                  9.9999997580733402E-001                  9.9999994246255519E-001                  4.0825578767085613E-001                  7.8129739536097626E-008                  9.9999997580733402E-001                  9.9999994246255519E-001                                        1                  2.5187746453911608E-001                                        3                  4.1123796979118044E-001                                        0                  9.9999994246255519E-001                                        1                  9.9999997647883587E-001                                        0                  9.9999999978220178E-001                                        1                  9.9999999994635524E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.1773839839409765E+000                 -3.1882715797289233E+001                 -1.1740169830895265E+001                  4.1773839839409765E+000                  2.4196155798204595E+000                  4.1697308937222246E+000                 -3.1882715797289233E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3643350314237643E+033                  5.6853697686047250E+033                  6.5815251288043010E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.7225850427172453E+033                                        6                  8.5505012031958220E-004                                        5                  9.1479923661322515E-002                                        4                  2.1026964095975942E-001                                        3                  3.2463428269827477E-001                                        2                  4.9660923759952358E-001                                        1                  5.9910883098280210E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3453808991962939E+000                  3.4219310322138923E+000                  3.4951237256778107E+000                  5.4346255416698308E-001                  4.2540542320711019E+000                  3.0379742896916142E-008                  7.4755083933851196E+000                  1.0466208110280886E+000                  1.6667798498628816E+001                  1.0466208110280886E+000                  7.4755083933851196E+000                  6.2033377639628473E-001                  8.4960713047422043E-001                  1.2978230516592288E+000                  6.9921275229204494E-001                  2.8035024318044421E-001                  8.0991660605998035E-004                  9.3113497363990355E-003                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4416106108119972E-003                  9.3604466091399725E-003                  5.5974023309367915E+000                  2.2410141902382703E+000                                        0                                        0                                        5 
                                       5                                     1006                  2.5093451897357622E+003                  2.5307262395435965E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.9077777110377152E+000                  4.8845008882579555E-001                  7.8129740884804921E-008                  9.9999995838933531E-001                  9.9999995211883497E-001                  6.1270164883584954E-001                  7.8129740884804921E-008                  9.9999995838933531E-001                  9.9999995211883497E-001                                        1                  4.8847221387971440E-001                                        3                  6.1715344402009098E-001                                        0                  9.9999995211883497E-001                                        1                  9.9999995863400382E-001                                        0                  9.9999999973789411E-001                                        1                  9.9999999992810173E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.0037557908364825E+000                 -3.3219025764850230E+001                 -1.1740169830895265E+001                  4.0037557908364825E+000                  2.5131058397707182E+000                  3.9894916068625492E+000                 -3.3219025764850230E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0571263849665897E+033                  5.4417261439202460E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  7.0887091116008660E-002                                        4                  1.9129065318569627E-001                                        3                  3.0860234278161836E-001                                        2                  4.1422015191151229E-001                                        1                  5.1792262986573279E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3238253207495285E+000                  3.3520151661648274E+000                  3.5613591922199812E+000                  5.5161577803598338E-001                  4.2377477843331022E+000                  2.7791949233609783E-008                  7.4538957190848665E+000                  9.6801082712079967E-001                  1.6568227352769853E+001                  9.6801082712079967E-001                  7.4538957190848665E+000                  6.2022952927882313E-001                  8.4970989958321863E-001                  1.2975276438646979E+000                  6.9941672860726556E-001                  2.8022978766200279E-001                  1.3510265976618206E-003                  9.3271776842381061E-003                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4416106108119959E-003                  9.3604466091399777E-003                  5.5971200692833145E+000                  2.2410432654864927E+000                                        0                                        0                                        3 
                                      10                                     1001                  3.4596667594634050E+003                  2.1466853121912508E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.9326920015707643E+000                  4.9118277934922011E-001                  7.8129740380271784E-008                  9.9999999992087973E-001                  9.9999999971781983E-001                  6.1715344402010264E-001                  7.8129740380271784E-008                  9.9999999992087973E-001                  9.9999999971781983E-001                                        1                  4.9158650019634553E-001                                        3                  6.2046272696328286E-001                                        0                  9.9999999971781983E-001                                        1                  9.9999999992149635E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.8693420797956932E+000                 -3.3590684736968107E+001                 -9.8999999999999986E+001                  3.8693420797956932E+000                  2.3626813670958575E+000                  3.8556024412889860E+000                 -3.3590684736968107E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8011589646592539E+033                  5.2162067070067258E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  5.6918227353674744E-002                                        4                  1.7402741532244542E-001                                        3                  2.9242897534862083E-001                                        2                  4.0225723986331269E-001                                        1                  5.0468048700731150E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3170592317397647E+000                  3.3303123759875533E+000                  3.5834104921981202E+000                  5.5429656096687374E-001                  4.2323862184713210E+000                  2.1413586146185995E-008                  7.4475874394203636E+000                  9.4698103328596694E-001                  1.6540974794492623E+001                  9.4698103328596694E-001                  7.4475874394203636E+000                  6.2023376209859982E-001                  8.4970618015743160E-001                  1.2975413314154229E+000                  6.9940951445038413E-001                  2.8022702326477145E-001                  1.2874311996399386E-003                  9.3276049257391101E-003                  7.0000000000000029E-001                  2.7997020236474895E-001                  3.4416106108119959E-003                  9.3604466091399777E-003                  5.5970330260413519E+000                  2.2410520886596150E+000                                        0                                        0                                        3 
                                      15                                      998                  4.3891896986089951E+003                  2.3176640389788226E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.8141029208871511E+000                  4.7606110814544267E-001                  7.8129739961776879E-008                  9.9999999991331978E-001                  9.9999999970615494E-001                  6.0139412939593662E-001                  7.8129739961776879E-008                  9.9999999991331978E-001                  9.9999999970615494E-001                                        1                  4.7676286511089389E-001                                        3                  6.0821033976192851E-001                                        0                  9.9999999970615494E-001                                        1                  9.9999999991767918E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.7646392839947413E+000                 -3.3841902855083568E+001                 -9.8999999999999986E+001                  3.7646392839947413E+000                  2.2366331333659706E+000                  3.7515686367574905E+000                 -3.3841902855083568E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5834477773499868E+033                  5.0205753596755133E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  4.7569229540878138E-002                                        4                  1.6094925152016770E-001                                        3                  2.8103897988117421E-001                                        2                  3.9015967514488337E-001                                        1                  4.9660923759952402E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3121756112817451E+000                  3.3149157547014498E+000                  3.6005221851915263E+000                  5.5636549123986023E-001                  4.2282483579253478E+000                  1.7731782678555953E-008                  7.4432225587095679E+000                  9.3314718821387299E-001                  1.6522800926353622E+001                  9.3314718821387299E-001                  7.4432225587095679E+000                  6.2024103789356722E-001                  8.4969943067429787E-001                  1.2975634941860124E+000                  6.9939625626669222E-001                  2.8022836478380464E-001                  1.2115077997008671E-003                  9.3274858248888811E-003                  7.0000000000000018E-001                  2.7997020236474901E-001                  3.4416106108119959E-003                  9.3604466091399777E-003                  5.5969677756853562E+000                  2.2410586908303158E+000                                        0                                        0                                        3 
                                      20                                      995                  5.7443179188298018E+003                  2.4594283335888831E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.5678597292051544E+000                  4.4351318400615442E-001                  7.8129739787364603E-008                  9.9999999991079980E-001                  9.9999999969209841E-001                  5.8042821964129454E-001                  7.8129739787364603E-008                  9.9999999991079980E-001                  9.9999999969209841E-001                                        1                  4.4598246615064430E-001                                        3                  5.8750325809523829E-001                                        0                  9.9999999969209841E-001                                        1                  9.9999999991317490E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.6526212536630469E+000                 -3.4091647338781094E+001                 -9.8999999999999986E+001                  3.6526212536630469E+000                  2.1020249987284654E+000                  3.6402226548574901E+000                 -3.4091647338781094E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3796660351562233E+033                  4.8100174294544529E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  3.6202483925387080E-002                                        4                  1.4796269883306196E-001                                        3                  2.6632016468573888E-001                                        2                  3.7793191972615187E-001                                        1                  4.8571739830236932E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3070037495326341E+000                  3.2993660660716766E+000                  3.6218826122927825E+000                  5.5893437042319671E-001                  4.2231105995586748E+000                  1.5934731152350609E-008                  7.4387850663230539E+000                  9.2012506842190933E-001                  1.6505319851218513E+001                  9.2012506842190933E-001                  7.4387850663230539E+000                  6.2024954916213915E-001                  8.4969154228731070E-001                  1.2975893911364862E+000                  6.9938073511310295E-001                  2.8022994814187269E-001                  1.1231716821336374E-003                  9.3273415882195072E-003                  7.0000000000000029E-001                  2.7997020236474890E-001                  3.4416106108119955E-003                  9.3604466091399777E-003                  5.5968936427394507E+000                  2.2410662527998779E+000                                        0                                        0                                        3 
                                      25                                      992                  7.9154887475103742E+003                  2.7467228871759803E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  3.1850918730191364E+000                  3.9470868495814776E-001                  7.8129742457537753E-008                  9.9999999990323984E-001                  9.9999999967602726E-001                  5.4619756800427488E-001                  7.8129742457537753E-008                  9.9999999990323984E-001                  9.9999999967602726E-001                                        1                  3.9813648412739205E-001                                        3                  5.5369288940043759E-001                                        0                  9.9999999967602726E-001                                        1                  9.9999999990800958E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.5284619247916456E+000                 -3.4335360431736262E+001                 -9.8999999999999986E+001                  3.5284619247916451E+000                  1.9524799683912037E+000                  3.5167768419276650E+000                 -3.4335360431736262E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1169058325846855E+033                  4.5710034814266408E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.4574628820261207E-002                                        4                  1.3189582983228978E-001                                        3                  2.4988958295675184E-001                                        2                  3.6246805911835905E-001                                        1                  4.7467064660578956E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3019886134608800E+000                  3.2875200738283481E+000                  3.6562985181785903E+000                  5.6304164644503951E-001                  4.2148960475149897E+000                  1.7536861176925872E-008                  7.4343298181189512E+000                  9.0912737953366285E-001                  1.6489751334047625E+001                  9.0912737953366285E-001                  7.4343298181189512E+000                  6.2026048295474157E-001                  8.4968141657650342E-001                  1.2976226108912754E+000                  6.9936077530445473E-001                  2.8023203680003050E-001                  1.0105486697752084E-003                  9.3271454868620440E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108119964E-003                  9.3604466091399760E-003                  5.5968033251210398E+000                  2.2410757017097693E+000                                        0                                        0                                        3 
                                      30                                      984                  1.2436479734834722E+004                  2.9665378583584237E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.5718029677262222E+000                  3.1983993368276281E-001                  7.8129742485293329E-008                  9.9999999989819988E-001                  9.9999999965142761E-001                  4.8297499977093977E-001                  7.8129742485293329E-008                  9.9999999989819988E-001                  9.9999999965142761E-001                                        1                  3.2147537096577777E-001                                        3                  4.8845008882578406E-001                                        0                  9.9999999965142761E-001                                        1                  9.9999999990120780E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.3777024870653021E+000                 -3.4537441663584211E+001                 -1.2342229822223228E+001                  3.3777024870653021E+000                  1.7685805673077311E+000                  3.3668866764655663E+000                 -3.4537441663584211E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8164329411101285E+033                  4.2382403458486487E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  1.2505960533502780E-002                                        4                  1.1295285362882673E-001                                        3                  2.3009574862437981E-001                                        2                  3.4209660266607250E-001                                        1                  4.6065174512307211E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3011816230855109E+000                  3.3046823217668431E+000                  3.7431458640584938E+000                  5.7323675116502681E-001                  4.1945058380750151E+000                  2.1246141629813663E-008                  7.4304288824585267E+000                  9.0542387212380970E-001                  1.6481778937759557E+001                  9.0542387212380970E-001                  7.4304288824585267E+000                  6.2027850521289940E-001                  8.4966473212553673E-001                  1.2976772339212057E+000                  6.9932781027317348E-001                  2.8023575842776283E-001                  8.2754472772432496E-004                  9.3267803548296412E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108119964E-003                  9.3604466091399760E-003                  5.5966677078832889E+000                  2.2410909931405789E+000                                        0                                        0                                        3 
                                      35                                      984                  1.5004158145769754E+004                  2.5570296936799344E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.2920362365539062E+000                  2.8592671638679751E-001                  7.8129742485293329E-008                  9.9999999989819988E-001                  9.9999999964065567E-001                  4.5354790286280972E-001                  7.8129742485293329E-008                  9.9999999989819988E-001                  9.9999999964065567E-001                                        1                  2.8650452956923828E-001                                        3                  4.5497614254262009E-001                                        0                  9.9999999964065567E-001                                        1                  9.9999999989895161E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.3230679631821465E+000                 -3.4555244209976394E+001                 -1.2342229822223228E+001                  3.3230679631821465E+000                  1.7005761427776074E+000                  3.3125840381116873E+000                 -3.4555244209976394E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7179663431763096E+033                  4.1256584978851010E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  7.2506219534751266E-003                                        4                  1.0673863542789203E-001                                        3                  2.1910213109768345E-001                                        2                  3.3735298668142738E-001                                        1                  4.5497614254262359E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3038902140325082E+000                  3.3271880813497829E+000                  3.7937826762754865E+000                  5.7907244906250055E-001                  4.1828344422800674E+000                  1.9985322449710584E-008                  7.4299776722884632E+000                  9.0898601686807656E-001                  1.6484669213207294E+001                  9.0898601686807656E-001                  7.4299776722884632E+000                  6.2028770747686524E-001                  8.4965620886683191E-001                  1.2977050583370915E+000                  6.9931094267829019E-001                  2.8023785333894613E-001                  7.3552837991884481E-004                  9.3265675013090507E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108119964E-003                  9.3604466091399760E-003                  5.5966048056725279E+000                  2.2410988013125528E+000                                        0                                        0                                        2 
                                      40                                      984                  1.6599414338110797E+004                  2.4860614648415242E+000                  8.0000000000000000E+000                  3.4201768437552126E+001                 -9.8999999999999986E+001                  2.1786113589678937E+000                  2.6959906505215564E-001                  7.8129742485293329E-008                  9.9999999989819988E-001                  9.9999999963736241E-001                  4.3772647989252428E-001                  7.8129742485293329E-008                  9.9999999989819988E-001                  9.9999999963736241E-001                                        1                  2.7232641987098671E-001                                        3                  4.4061983194933202E-001                                        0                  9.9999999963736241E-001                                        1                  9.9999999989853694E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.2968212127236511E+000                 -3.4540173595687378E+001                 -9.8999999999999986E+001                  3.2968212127236511E+000                  1.6676609087101564E+000                  3.2864989498155968E+000                 -3.4540173595687378E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6661886181691800E+033                  4.0511147889546179E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  8.4259869455244885E-003                                        4                  1.0366073351172905E-001                                        3                  2.1687913511232909E-001                                        2                  3.3259622065471878E-001                                        1                  4.5781394383284785E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3061375643745174E+000                  3.3427631010572987E+000                  3.8226563566816325E+000                  5.8236525823223984E-001                  4.1762488239405888E+000                  1.8060759016469627E-008                  7.4301820464067534E+000                  9.1257259056176243E-001                  1.6488328180051486E+001                  9.1257259056176243E-001                  7.4301820464067534E+000                  6.2029318843692760E-001                  8.4965112890725469E-001                  1.2977216055119387E+000                  6.9930088180716488E-001                  2.8023918996006869E-001                  6.8129625998091523E-004                  9.3264291608019818E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108119964E-003                  9.3604466091399760E-003                  5.5965688522111385E+000                  2.2411035758751394E+000                                        0                                        0                                        2 
