                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                     300                                      457                  1.2300000000000001E+001                  2.0000000000000000E-002                  1.7772849865225360E+007                  3.1000640781840872E+002                  2.1551731918998528E+004                  3.5726768846338673E+004                  1.3576610353760579E+001                 -4.9014467654548008E+000                  1.3068143899887894E-038                  0.0000000000000000E+000                  9.8059436979435599E-001                  2.8625353231641424E-004                  1.2531246957155373E-002                  3.9834548295981351E-004                  2.0994599496987941E-003                  1.1839253610212761E+001                 -1.6581227742851617E-007                  5.1814395795406538E+000                  1.8408622046188797E-004                  6.4227262726180454E+000                  1.6435130980675013E-002                  8.1831243669392761E-002                  6.3354871854038722E-002                  2.4856038788955044E-002                  3.1112157978589576E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1839253578493981E+001                  1.3481739430681744E+001                  1.1839253302275024E+001                  1.3275486891037074E+001                  1.4556549469740468E+005                  6.7833322950892816E+003                  3.3138327345340280E+006                  3.1836092858017426E+004                  3.1836092858015629E+004                  9.5761027059339093E-013                  2.1689347458869674E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.6087826168989606E+014                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201015" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                     rmid                                    logxq                                    logxm                                  eps_nuc                              mixing_type 
                                       1                  1.1839253610212761E+001                  1.1327913540084840E+000                  4.3335394840077210E+000                 -9.4866732840548753E+000                  3.1590586521555832E+000                  6.9999998528393803E-001                  2.8000001471605229E-001                  2.0000000000009677E-002                  1.0000000000000000E+000                  1.3576587231304824E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7816422250415727E-029                                        0 
                                       2                  1.1839253610206841E+001                  1.1327898747012266E+000                  4.3336540409785949E+000                 -9.4861729044343832E+000                  3.1596146475643581E+000                  6.9999998528393803E-001                  2.8000001471605229E-001                  2.0000000000009677E-002                  9.9999999999949996E-001                  1.3576541012783068E+001                 -1.2301029995663976E+001                 -1.1227705671924340E+001                  4.7871547937193169E-029                                        0 
                                       3                  1.1839253610200922E+001                  1.1327883970823061E+000                  4.3338348386317529E+000                 -9.4853841555244003E+000                  3.1604915624451881E+000                  6.9999998528393803E-001                  2.8000001471605229E-001                  2.0000000000009677E-002                  9.9999999999900002E-001                  1.3576468129577073E+001                 -1.1999999999999995E+001                 -1.0926675676260359E+001                  4.7958571687856925E-029                                        0 
                                       4                  1.1839253610188139E+001                  1.1327852118121402E+000                  4.3341431768941616E+000                 -9.4840409333717801E+000                  3.1619859497311724E+000                  6.9999998528393803E-001                  2.8000001471605229E-001                  2.0000000000009677E-002                  9.9999999999792022E-001                  1.3576343890756627E+001                 -1.1681982441424328E+001                 -1.0608658117684694E+001                  4.8107135492094408E-029                                        0 
                                       5                  1.1839253610168964E+001                  1.1327804485308002E+000                  4.3347344366074960E+000                 -9.4814742025889345E+000                  3.1648461942489114E+000                  6.9999998528393803E-001                  2.8000001471605229E-001                  2.0000000000009677E-002                  9.9999999999630051E-001                  1.3576106170893185E+001                 -1.1431862611689500E+001                 -1.0358538287949864E+001                  4.8392303628853372E-029                                        0 
                                       6                  1.1839253610126663E+001                  1.1327700026596903E+000                  4.3360957128089233E+000                 -9.4756083927803871E+000                  3.1714054311215603E+000                  6.9999998528393803E-001                  2.8000001471605229E-001                  2.0000000000009677E-002                  9.9999999999272771E-001                  1.3575561300333055E+001                 -1.1138330844332796E+001                 -1.0065006520593160E+001                  4.9050367068595727E-029                                        0 
                                       7                  1.1839253610026461E+001                  1.1327455865854723E+000                  4.3391591269025795E+000                 -9.4626147846055133E+000                  3.1860428857688725E+000                  6.9999998528393803E-001                  2.8000001471605229E-001                  2.0000000000009677E-002                  9.9999999998426414E-001                  1.3574345747574656E+001                 -1.0803110297967192E+001                 -9.7297859742275570E+000                  5.0540114126704328E-029                                        0 
                                       8                  1.1839253609800865E+001                  1.1326922220253055E+000                  4.3458296839434905E+000                 -9.4352439257888161E+000                  3.2173601709109336E+000                  6.9999998528393803E-001                  2.8000001471605229E-001                  2.0000000000009677E-002                  9.9999999996520916E-001                  1.3571744194032306E+001                 -1.0458535753408196E+001                 -9.3852114296685603E+000                  5.3827948489158774E-029                                        0 
                                       9                  1.1839253609291770E+001                  1.1325790864392049E+000                  4.3543347339768808E+000                 -9.4011634957072943E+000                  3.2568112176009443E+000                  6.9999998528393814E-001                  2.8000001471605229E-001                  2.0000000000009566E-002                  9.9999999992220856E-001                  1.3568389566178938E+001                 -1.0109068034075033E+001                 -9.0357437103353977E+000                  5.8222282484726821E-029                                        0 
