                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "12778"          1.2300000000000001E+001          4.2999999999999998E+000          1.5000000000000000E+001                       "gfortran"                          "9.2.0"            "x86_64-linux-20.3.2"                       "20201015" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.0373325949639438E+003          1.5000002517628241E+001          6.5275521845772872E+001          5.7053502408205475E+001          1.6319953491637335E+002          3.0799757509269583E+001          1.9100868800681084E+001         -8.5368166463389517E-001         -1.0000000000000000E+000          1.2299998606912482E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.9755382042820280E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.9755382042820280E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418057452840470E+053         -4.4773241400256343E+035          0.0000000000000000E+000          0.0000000000000000E+000         -4.4773241400256343E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          1.7367646084893231E+003          1.5000003651465681E+001          6.5275524312833426E+001          5.7053502408205475E+001          1.6319952659200385E+002          3.0799758377929109E+001          1.9100869777861469E+001         -8.5200338986566526E-001         -1.0000000000000000E+000          1.2299997979522622E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -9.0824952309282150E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.0824952309282150E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418056614914239E+053         -3.4999476045259802E+035          0.0000000000000000E+000          0.0000000000000000E+000         -3.4999476045259802E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          3.1296938876997965E+003          1.5000005474316492E+001          6.5275528279083744E+001          5.7053502408205503E+001          1.6319951320906119E+002          3.0799759774457879E+001          1.9100871348857392E+001         -8.5000475792483821E-001         -1.0000000000000000E+000          1.2299996970878961E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -9.1681526468762353E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.1681526468762353E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418055267794792E+053         -2.8734535408783741E+035          0.0000000000000000E+000          0.0000000000000000E+000         -2.8734535408783741E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          6.4195408075602800E+003          1.5000029244168257E+001          6.5275579998696927E+001          5.7053502408208686E+001          1.6319933869660520E+002          3.0799777985086077E+001          1.9100891834533265E+001         -8.4630617010862830E-001         -1.0000000000000000E+000          1.2299983818249091E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.4184630884853249E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.4184630884853249E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418037701450398E+053         -1.6147095961659409E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.6147095961659409E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          8.7451544723839706E+003          1.5000032624780800E+001          6.5275587354396961E+001          5.7053502408208757E+001          1.6319931387700706E+002          3.0799780575049283E+001          1.9100894748060654E+001         -8.4466284124438151E-001         -1.0000000000000000E+000          1.2299981947649242E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -9.0515004845654090E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.0515004845654090E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418035203119234E+053         -3.7588684604347728E+035          0.0000000000000000E+000          0.0000000000000000E+000         -3.7588684604347728E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          1.0851802932951947E+004          1.5000036449679737E+001          6.5275595676795788E+001          5.7053502408208800E+001          1.6319928579558126E+002          3.0799783505389769E+001          1.9100898044489004E+001         -8.4430433608830069E-001         -1.0000000000000000E+000          1.2299979831212452E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.9633068730502714E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.9633068730502714E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418032376453093E+053         -4.6052249652413798E+035          0.0000000000000000E+000          0.0000000000000000E+000         -4.6052249652413798E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          1.3295835865454297E+004          1.5000041925899371E+001          6.5275607592215621E+001          5.7053502408208956E+001          1.6319924559060141E+002          3.0799787700842927E+001          1.9100902764081418E+001         -8.4514906431195480E-001         -1.0000000000000000E+000          1.2299976801049395E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.8721702257997155E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.8721702257997155E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418028329433049E+053         -5.6805142827149388E+035          0.0000000000000000E+000          0.0000000000000000E+000         -5.6805142827149388E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.6613339946210337E+004          1.5000051117724727E+001          6.5275627592222591E+001          5.7053502408209347E+001          1.6319917810666007E+002          3.0799794742901302E+001          1.9100910685908108E+001         -8.4765288021196483E-001         -1.0000000000000000E+000          1.2299971714929521E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.7820026540706451E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.7820026540706451E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418021536518200E+053         -6.9912606514113967E+035          0.0000000000000000E+000          0.0000000000000000E+000         -6.9912606514113967E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.1219276477989049E+004          1.5000066127706091E+001          6.5275660251634335E+001          5.7053502408210377E+001          1.6319906790749437E+002          3.0799806242369229E+001          1.9100923622015806E+001         -8.5152264334165695E-001         -1.0000000000000000E+000          1.2299963409454744E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.7306822513509434E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.7306822513509434E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3418010443891212E+053         -7.8682170424871188E+035          0.0000000000000000E+000          0.0000000000000000E+000         -7.8682170424871188E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
