                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                     800                                     1476                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.0762838823147753E+007                  1.0082663105093856E+001                  3.9514017261016311E+003                  2.2386518134760761E+004                  3.1970523055639489E+002                 -3.1526439908370789E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7787082620786914E-001                  1.3632129353337262E-003                  8.7302200002779915E-003                  3.8544554116493718E-004                  7.5599710318379450E-003                  1.4700751988116174E+001                 -3.1953595819948835E-007                  7.3549346066683547E+000                  2.1476590170674899E-004                  7.0499496904641132E+000                  2.4191756905760038E-002                  8.4678109965337728E-002                  8.9732116828476635E-002                  3.6920098539506209E-002                  2.9195257472227576E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4699408446393580E+001                  3.1826239852371759E+002                  1.4699153045300852E+001                  3.1803202031616729E+002                  1.4927545669817612E+007                  7.0879777843931606E+002                  6.5667880550345695E+006                  4.4054835871506817E+004                  3.4340425860453855E+004                  1.5096243326234805E+003                  2.3375193724578021E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3965528183451488E+014                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20250827" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                     rmid                                    logxq                                    logxm                                  eps_nuc                              mixing_type 
                                       1                  1.4700751988116174E+001                  2.5047497416304525E+000                  3.5967511856439685E+000                 -8.6227088416840090E+000                  2.7806432966230292E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  1.0000000000000000E+000                  3.1970523054931192E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.4959056553366218E-028                                        0 
                                       2                  1.4700751988108822E+001                  2.5047497416112110E+000                  3.5967511872541618E+000                 -8.6227088304148243E+000                  2.7806433094980147E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  9.9999999999949996E-001                  3.1970523052195909E+002                 -1.2301029995663994E+001                 -1.1133690444865730E+001                  3.4959057460535607E-028                                        0 
                                       3                  1.4700751988087784E+001                  2.5047497415561408E+000                  3.5967511923247839E+000                 -8.6227087949273091E+000                  2.7806433500423204E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  9.9999999999806899E-001                  3.1970523043582523E+002                 -1.1714208862630235E+001                 -1.0546869311831971E+001                  3.4959060317280722E-028                                        0 
                                       4                  1.4700751988019428E+001                  2.5047497413771986E+000                  3.5967512059440061E+000                 -8.6227086996111453E+000                  2.7806434589405526E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  9.9999999999341904E-001                  3.1970523020447888E+002                 -1.1181708758856837E+001                 -1.0014369208058575E+001                  3.4959067990233687E-028                                        0 
                                       5                  1.4700751987847676E+001                  2.5047497409276089E+000                  3.5967512748129571E+000                 -8.6227082176220158E+000                  2.7806440096107603E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  9.9999999998173594E-001                  3.1970522903462171E+002                 -1.0738403690968530E+001                 -9.5710641401702681E+000                  3.4959106790392928E-028                                        0 
                                       6                  1.4700751986805267E+001                  2.5047497381988788E+000                  3.5967514383781829E+000                 -8.6227070728924158E+000                  2.7806453174593919E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  9.9999999991082733E-001                  3.1970522625619196E+002                 -1.0049768097246476E+001                 -8.8824285464482120E+000                  3.4959198941379745E-028                                        0 
                                       7                  1.4700751984964025E+001                  2.5047497333790560E+000                  3.5967516429197777E+000                 -8.6227056413952248E+000                  2.7806469529402156E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  9.9999999978557919E-001                  3.1970522278173218E+002                 -9.6687331512302013E+000                 -8.5013936004319390E+000                  3.4959314177563017E-028                                        0 
                                       8                  1.4700751983199215E+001                  2.5047497287593132E+000                  3.5967519765981044E+000                 -8.6227033061463771E+000                  2.7806496209571852E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  9.9999999966553010E-001                  3.1970521711372589E+002                 -9.4756428931810852E+000                 -8.3083033423828212E+000                  3.4959502166986433E-028                                        0 
                                       9                  1.4700751979081316E+001                  2.5047497179799696E+000                  3.5967525438548229E+000                 -8.6226993362641426E+000                  2.7806541565488656E+000                  6.9999997600603736E-001                  2.8000002399010332E-001                  2.0000000003859375E-002                  9.9999999938541528E-001                  3.1970520747817972E+002                 -9.2114182484276679E+000                 -8.0440786976294039E+000                  3.4959821748041238E-028                                        0 
