                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                    1000                                     1596                  5.0000000000000000E+001                  2.0000000000000000E-002                  3.7658258287323462E+006                  1.5478590392682401E+002                  3.6646546479818689E+003                  7.3984002421196864E+005                  2.1367890054263862E+003                 -4.8766300937230964E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6523804735692111E-001                  1.0771512042076331E-001                  9.7737671484914043E-009                  2.9111515102722978E-003                  2.0045331474847636E-002                  4.8377663937911080E+001                 -1.7844192323778096E-005                  1.5314737659663423E+001                  3.2171332429904872E-004                  3.0336377514731701E+001                  1.6995159307917320E+000                  2.5006711801932924E-001                  2.0090928977225667E-001                  3.7785414449588306E-001                  2.0304861151038601E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8164603827255711E+001                  2.1186289265306045E+003                  4.8136377263130633E+001                  2.1164622298241698E+003                  1.4218493555138341E+008                  3.4751204562442425E+001                  6.5389357637740590E+005                  7.4169464548763866E+005                  2.1742766103720927E+005                  5.0581854356745636E+005                  1.4899644187516355E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1884249631675648E+014                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20250713" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                     rmid                                    logxq                                    logxm                                  eps_nuc                              mixing_type 
                                       1                  4.8377663937911080E+001                  3.3297616404125412E+000                  3.5640330535990810E+000                 -9.1615993829452425E+000                  2.1979870772723449E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  1.0000000000000000E+000                  2.1367890054245640E+003                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.3132225354811959E-029                                        0 
                                       2                  4.8377663937886886E+001                  3.3297616404118071E+000                  3.5640330536375191E+000                 -9.1615993826762274E+000                  2.1979870775794028E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999999949996E-001                  2.1367890054165628E+003                 -1.2301029995663985E+001                 -1.0616385102356794E+001                  9.3132225412502598E-029                                        0 
                                       3                  4.8377663937803760E+001                  3.3297616404092860E+000                  3.5640330537432949E+000                 -9.1615993819359236E+000                  2.1979870784243913E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999999778155E-001                  2.1367890053945321E+003                 -1.1653950787702252E+001                 -9.9693058943950597E+000                  9.3132225571260712E-029                                        0 
                                       4                  4.8377663937591556E+001                  3.3297616404028516E+000                  3.5640330540430774E+000                 -9.1615993798378135E+000                  2.1979870808191948E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999999339517E-001                  2.1367890053320857E+003                 -1.1180136394369729E+001                 -9.4954915010625367E+000                  9.3132226021201237E-029                                        0 
                                       5                  4.8377663936966734E+001                  3.3297616403839045E+000                  3.5640330552576911E+000                 -9.1615993713370152E+000                  2.1979870905220897E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999998047961E-001                  2.1367890050790943E+003                 -1.0709511144687824E+001                 -9.0248662513806330E+000                  9.3132227844199713E-029                                        0 
                                       6                  4.8377663934200221E+001                  3.3297616403000130E+000                  3.5640330601865138E+000                 -9.1615993368413058E+000                  2.1979871298958296E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999992329380E-001                  2.1367890040524944E+003                 -1.0115169403057669E+001                 -8.4305245097504784E+000                  9.3132235241814480E-029                                        0 
                                       7                  4.8377663923204885E+001                  3.3297616399665992E+000                  3.5640330701452938E+000                 -9.1615992671420994E+000                  2.1979872094511883E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999969601261E-001                  2.1367890019782358E+003                 -9.5171444878921516E+000                 -7.8324995945849603E+000                  9.3132250188830904E-029                                        0 
                                       8                  4.8377663906394147E+001                  3.3297616394568417E+000                  3.5640330821868713E+000                 -9.1615991828659133E+000                  2.1979873056448609E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999934852302E-001                  2.1367889994701586E+003                 -9.1861009511462015E+000                 -7.5014560578390110E+000                  9.3132268261888594E-029                                        0 
                                       9                  4.8377663889583417E+001                  3.3297616389470845E+000                  3.5640331002492398E+000                 -9.1615990564516796E+000                  2.1979874499353271E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999900103342E-001                  2.1367889957080433E+003                 -9.0004490612573846E+000                 -7.3158041679501951E+000                  9.3132295371471934E-029                                        0 
                                      10                  4.8377663855961941E+001                  3.3297616379275699E+000                  3.5640331401557983E+000                 -9.1615987771554295E+000                  2.1979877687268914E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999830605424E-001                  2.1367889873961290E+003                 -8.7711005114413290E+000                 -7.0864556181341394E+000                  9.3132355266693421E-029                                        0 
                                      11                  4.8377663778159764E+001                  3.3297616355683526E+000                  3.5640332239388530E+000                 -9.1615981907796140E+000                  2.1979884380223673E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999669782913E-001                  2.1367889699454454E+003                 -8.4812004644885697E+000                 -6.7965555711813783E+000                  9.3132481015407143E-029                                        0 
                                      12                  4.8377663622030333E+001                  3.3297616308339957E+000                  3.5640333995898024E+000                 -9.1615969614499377E+000                  2.1979898411929080E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999999347052504E-001                  2.1367889333603052E+003                 -8.1851217411874995E+000                 -6.5004768478803090E+000                  9.3132744646588474E-029                                        0 
                                      13                  4.8377663287723593E+001                  3.3297616206967566E+000                  3.5640337143369392E+000                 -9.1615947586470678E+000                  2.1979923554995087E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999998656017197E-001                  2.1367888678042309E+003                 -7.8716062887183726E+000                 -6.1869613954111813E+000                  9.3133217042096862E-029                                        0 
                                      14                  4.8377662743225997E+001                  3.3297616041859399E+000                  3.5640342491138441E+000                 -9.1615910159924976E+000                  2.1979966274204132E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999997530502738E-001                  2.1367887564214666E+003                 -7.6073914517458725E+000                 -5.9227465584386820E+000                  9.3134019667395508E-029                                        0 
                                      15                  4.8377661794583730E+001                  3.3297615754204806E+000                  3.5640351793741649E+000                 -9.1615845057088610E+000                  2.1980040583791589E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999995569593114E-001                  2.1367885626722655E+003                 -7.3535563867864377E+000                 -5.6689114934792473E+000                  9.3135415836861116E-029                                        0 
                                      16                  4.8377660145891497E+001                  3.3297615254283004E+000                  3.5640368074359952E+000                 -9.1615731125030457E+000                  2.1980170628733893E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999992161631468E-001                  2.1367882236025025E+003                 -7.1057743213250077E+000                 -5.4211294280178173E+000                  9.3137859228708683E-029                                        0 
                                      17                  4.8377657249032751E+001                  3.3297614375910753E+000                  3.5640398451112874E+000                 -9.1615518565817045E+000                  2.1980413251798248E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999986173622724E-001                  2.1367875910041566E+003                 -6.8592915966478687E+000                 -5.1746467033406782E+000                  9.3142417954154826E-029                                        0 
                                      18                  4.8377651664961881E+001                  3.3297612682815716E+000                  3.5640449684252800E+000                 -9.1615160120748556E+000                  2.1980822402454900E+000                  6.7192840468917681E-001                  3.0810509594381941E-001                  1.9966499367003787E-002                  9.9999974630959421E-001                  2.1367865242055973E+003                 -6.5956959568233202E+000                 -4.9110510635161289E+000                  9.3150105976978299E-029                                        0 
                                      19                  4.8377642946050841E+001                  3.3297610039448662E+000                  3.5640532065132495E+000                 -9.1614583897121182E+000                  2.1981480159157583E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999956608363172E-001                  2.1367848091918327E+003                 -6.3625939670403664E+000                 -4.6779490737331750E+000                  9.3162466300883032E-029                                        0 
                                      20                  4.8377628668501977E+001                  3.3297605711398379E+000                  3.5640639355714563E+000                 -9.1613833721921498E+000                  2.1982336521727350E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999927095675489E-001                  2.1367825762684861E+003                 -6.1372467096257530E+000                 -4.4526018163185626E+000                  9.3178560442365640E-029                                        0 
                                      21                  4.8377613000832561E+001                  3.3297600962756806E+000                  3.5640779384441310E+000                 -9.1612855081494580E+000                  2.1983453752522344E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999894709511838E-001                  2.1367796631200545E+003                 -5.9776108607607714E+000                 -4.2929659674535801E+000                  9.3199560220622438E-029                                        0 
                                      22                  4.8377589592544730E+001                  3.3297593869616504E+000                  3.5640965717093192E+000                 -9.1611553651433599E+000                  2.1984939604001381E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999846322950925E-001                  2.1367757886416516E+003                 -5.8133909874434062E+000                 -4.1287460941362149E+000                  9.3227493787780792E-029                                        0 
                                      23                  4.8377561016837028E+001                  3.3297585213200560E+000                  3.5641240405141783E+000                 -9.1609636695685115E+000                  2.1987128435647083E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999787254973327E-001                  2.1367700810368979E+003                 -5.6721405835979875E+000                 -3.9874956902907965E+000                  9.3268654092393325E-029                                        0 
                                      24                  4.8377512982247843E+001                  3.3297570668426233E+000                  3.5641668585706814E+000                 -9.1606652522577523E+000                  2.1990536419038458E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999687964132722E-001                  2.1367611938027858E+003                 -5.5057954827009619E+000                 -3.8211505893937714E+000                  9.3332765538881690E-029                                        0 
                                      25                  4.8377441660160756E+001                  3.3297549086810703E+000                  3.5642557751873967E+000                 -9.1600469261305602E+000                  2.1997599817536879E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999540536412401E-001                  2.1367427757495652E+003                 -5.3377489006670222E+000                 -3.6531040073598318E+000                  9.3465745921537015E-029                                        0 
                                      26                  4.8377265309302381E+001                  3.3297495798691794E+000                  3.5644479400341029E+000                 -9.1587173559234465E+000                  2.2012797881225539E+000                  6.7192840468917681E-001                  3.0810509594381935E-001                  1.9966499367003898E-002                  9.9999176006908441E-001                  2.1367031429093454E+003                 -5.0840764294573493E+000                 -3.3994315361501584E+000                  9.3752332187089807E-029                                        0 
